state,date,0
Japan,2020-02-15,15.334993933102409
Japan,2020-02-16,19.36851327908085
Japan,2020-02-17,13.05599318132004
Japan,2020-02-18,15.616749341317561
Japan,2020-02-19,16.195750979053244
Japan,2020-02-20,20.06552853975509
Japan,2020-02-21,17.026767025253196
Japan,2020-02-22,19.025181192943357
Japan,2020-02-23,24.058328397074057
Japan,2020-02-24,34.15865099231501
Japan,2020-02-25,35.39988726930624
Japan,2020-02-26,28.899290554616396
Japan,2020-02-27,23.72946305440877
Japan,2020-02-28,38.75788324158835
Japan,2020-02-29,28.657678181705357
Japan,2020-03-01,30.149977249027405
Japan,2020-03-02,40.25644869689947
Japan,2020-03-03,31.30497983949764
Japan,2020-03-04,37.49474766400683
Japan,2020-03-05,33.64881830320411
Japan,2020-03-06,35.58953974372986
Japan,2020-03-07,45.35010498217585
Japan,2020-03-08,33.97757179663702
Japan,2020-03-09,40.463129862423294
Japan,2020-03-10,30.89722956442312
Japan,2020-03-11,43.40781876312953
Japan,2020-03-12,29.995147764757
Japan,2020-03-13,40.61048910326461
Japan,2020-03-14,35.28343289644925
Japan,2020-03-15,29.14612090365238
Japan,2020-03-16,32.32627510782406
Japan,2020-03-17,45.85749088191997
Japan,2020-03-18,61.783318090515436
Japan,2020-03-19,86.31948718813658
Japan,2020-03-20,96.93448500494566
Japan,2020-03-21,94.41502453459069
Japan,2020-03-22,123.74281200525576
Japan,2020-03-23,205.62879329062983
Japan,2020-03-24,202.38305343427663
Japan,2020-03-25,227.94975869427026
Japan,2020-03-26,272.41013830830144
Japan,2020-03-27,389.7243010490312
Japan,2020-03-28,378.2325553850395
Japan,2020-03-29,379.8737833144012
Japan,2020-03-30,526.2829869371801
Japan,2020-03-31,452.4179491971675
Japan,2020-04-01,579.7469229051172
Japan,2020-04-02,455.3299002802935
Japan,2020-04-03,580.4811541172294
Japan,2020-04-04,507.1531593235463
Japan,2020-04-05,469.0584710517835
Japan,2020-04-06,585.6384684873528
Japan,2020-04-07,552.6429579326169
Japan,2020-04-08,538.8767610816416
Japan,2020-04-09,484.1184693018223
Japan,2020-04-10,500.2636496640781
Japan,2020-04-11,464.19281751807955
Japan,2020-04-12,376.072740127061
Japan,2020-04-13,406.8659544715614
Japan,2020-04-14,368.89048065478187
Japan,2020-04-15,350.9821383269882
Japan,2020-04-16,292.78825527098047
Japan,2020-04-17,289.1272178975426
Japan,2020-04-18,278.34942686739174
Japan,2020-04-19,216.9882720507713
Japan,2020-04-20,278.3405179801859
Japan,2020-04-21,211.94085533391655
Japan,2020-04-22,216.03760567196693
Japan,2020-04-23,156.36739959016055
Japan,2020-04-24,191.85417956450863
Japan,2020-04-25,151.88276026605888
Japan,2020-04-26,130.94883674075646
Japan,2020-04-27,137.7392372154655
Japan,2020-04-28,102.49914102965415
Japan,2020-04-29,72.46775323766961
Japan,2020-04-30,78.14864794778829
Japan,2020-05-01,70.31029027852247
Japan,2020-05-02,59.065965007303305
Japan,2020-05-03,39.01055090687255
Japan,2020-05-04,28.001206802461358
Japan,2020-05-05,19.0000929601531
Japan,2020-05-06,17.000004327626755
Japan,2020-05-07,7.000000097926993
