date,ML,Low_90,High_90,Low_50,High_50
2020-02-15,0.0,0.0,10.81,0.0,6.01
2020-02-16,0.61,0.0,2.0100000000000002,0.14,1.0
2020-02-17,0.02,0.0,0.77,0.0,0.3
2020-02-18,0.16,0.0,0.85,0.0,0.36
2020-02-19,0.4,0.0,1.12,0.11,0.62
2020-02-20,0.75,0.0,1.54,0.34,1.03
2020-02-21,1.1500000000000001,0.17,1.99,0.67,1.45
2020-02-22,1.22,0.23,2.1,0.79,1.57
2020-02-23,1.06,0.11,1.9100000000000001,0.6,1.37
2020-02-24,0.89,0.02,1.7,0.44,1.18
2020-02-25,0.87,0.0,1.67,0.41000000000000003,1.1500000000000001
2020-02-26,1.0,0.06,1.82,0.56,1.32
2020-02-27,1.1500000000000001,0.21,2.04,0.67,1.45
2020-02-28,1.22,0.27,2.12,0.79,1.56
2020-02-29,1.18,0.25,2.07,0.75,1.51
2020-03-01,1.07,0.14,1.9100000000000001,0.62,1.37
2020-03-02,1.02,0.1,1.83,0.56,1.3
2020-03-03,1.03,0.15,1.87,0.56,1.3
2020-03-04,1.03,0.14,1.86,0.63,1.36
2020-03-05,0.98,0.07,1.76,0.59,1.31
2020-03-06,0.87,0.04,1.6500000000000001,0.42,1.1300000000000001
2020-03-07,0.78,0.0,1.54,0.34,1.03
2020-03-08,0.74,0.0,1.52,0.34,1.02
2020-03-09,0.79,0.0,1.56,0.42,1.11
2020-03-10,0.9,0.02,1.67,0.48,1.2
2020-03-11,1.09,0.16,1.92,0.64,1.3900000000000001
2020-03-12,1.3800000000000001,0.4,2.24,0.9400000000000001,1.69
2020-03-13,1.74,0.86,2.63,1.37,2.08
2020-03-14,2.05,1.21,2.9,1.68,2.37
2020-03-15,2.2,1.4000000000000001,3.0500000000000003,1.85,2.5300000000000002
2020-03-16,2.18,1.3800000000000001,2.99,1.78,2.45
2020-03-17,2.1,1.32,2.87,1.75,2.39
2020-03-18,2.09,1.36,2.84,1.71,2.33
2020-03-19,2.21,1.5,2.93,1.85,2.45
2020-03-20,2.33,1.6300000000000001,3.0300000000000002,1.96,2.5500000000000003
2020-03-21,2.29,1.62,2.96,1.97,2.5300000000000002
2020-03-22,2.14,1.48,2.75,1.82,2.35
2020-03-23,2.05,1.44,2.64,1.77,2.27
2020-03-24,2.0,1.42,2.56,1.7,2.18
2020-03-25,1.83,1.3,2.37,1.56,2.0100000000000002
2020-03-26,1.59,1.1300000000000001,2.12,1.33,1.75
2020-03-27,1.4000000000000001,0.96,1.8900000000000001,1.16,1.55
2020-03-28,1.24,0.81,1.7,1.03,1.3900000000000001
2020-03-29,1.05,0.63,1.49,0.85,1.19
2020-03-30,0.92,0.44,1.3,0.6900000000000001,1.03
2020-03-31,0.87,0.37,1.24,0.62,0.97
2020-04-01,0.91,0.41000000000000003,1.29,0.68,1.03
2020-04-02,1.0,0.51,1.3900000000000001,0.76,1.11
2020-04-03,1.06,0.61,1.48,0.87,1.21
2020-04-04,1.0,0.54,1.41,0.8,1.1400000000000001
2020-04-05,0.81,0.3,1.17,0.56,0.91
2020-04-06,0.56,0.07,0.9,0.33,0.6900000000000001
2020-04-07,0.39,0.0,0.75,0.17,0.52
2020-04-08,0.32,0.0,0.72,0.11,0.45
2020-04-09,0.33,0.0,0.73,0.09,0.44
2020-04-10,0.38,0.0,0.79,0.15,0.52
2020-04-11,0.44,0.0,0.85,0.21,0.6
2020-04-12,0.46,0.0,0.87,0.22,0.62
2020-04-13,0.46,0.0,0.88,0.18,0.59
2020-04-14,0.5,0.0,0.93,0.21,0.64
2020-04-15,0.6,0.03,1.04,0.31,0.76
2020-04-16,0.6900000000000001,0.07,1.1500000000000001,0.43,0.89
2020-04-17,0.72,0.12,1.22,0.43,0.9
2020-04-18,0.68,0.04,1.1300000000000001,0.37,0.84
2020-04-19,0.5700000000000001,0.01,1.03,0.27,0.73
2020-04-20,0.51,0.0,0.98,0.24,0.6900000000000001
2020-04-21,0.53,0.0,1.01,0.26,0.72
2020-04-22,0.56,0.0,1.05,0.24,0.72
2020-04-23,0.54,0.0,1.05,0.23,0.71
2020-04-24,0.5,0.0,1.03,0.23,0.7000000000000001
2020-04-25,0.5,0.0,1.03,0.19,0.67
2020-04-26,0.56,0.0,1.1,0.28,0.78
2020-04-27,0.72,0.02,1.27,0.36,0.91
2020-04-28,0.89,0.14,1.49,0.53,1.1
2020-04-29,0.9400000000000001,0.21,1.58,0.59,1.16
2020-04-30,1.0,0.23,1.6300000000000001,0.66,1.23
2020-05-01,1.3900000000000001,0.72,2.11,1.11,1.6600000000000001
2020-05-02,2.1,1.49,2.8000000000000003,1.78,2.33
2020-05-03,2.66,1.9000000000000001,3.46,2.2800000000000002,2.93
2020-05-04,3.0700000000000003,2.2,3.9,2.65,3.36
2020-05-05,2.66,1.99,3.3000000000000003,2.31,2.86
2020-05-06,0.9400000000000001,0.52,1.5,0.75,1.1400000000000001
2020-05-07,0.16,0.0,0.56,0.0,0.27
